327 stars read from HYG database file hygxyz.csv
..Sol -> Proxima Centauri, distance = 1.29, cumulative = 1.29
..Gliese GJ 1116 A -> Gliese NN 3522, distance = 1.22, cumulative = 105.40
..Gliese NN 3522 -> Gliese GJ 1111, distance = 1.60, cumulative = 107.01
..Gliese GJ 1111 -> Gliese Gl 280  B, distance = 1.53, cumulative = 108.54
..Gliese Gl 280  B -> Procyon, distance = 0.00, cumulative = 108.54
..Procyon -> Luyten's Star, distance = 0.36, cumulative = 108.89
..Luyten's Star -> Gliese Gl 234  A, distance = 1.18, cumulative = 110.08
..Gliese Gl 234  A -> Gliese Gl 234  B, distance = 0.00, cumulative = 110.08
..Gliese Gl 234  B -> Gliese Gl 244  B, distance = 1.70, cumulative = 111.77
..Gliese Gl 244  B -> Sirius, distance = 0.00, cumulative = 111.77
..Sirius -> Kapteyn's Star, distance = 2.29, cumulative = 114.07
..Kapteyn's Star -> Gliese GJ 1061, distance = 1.26, cumulative = 115.33
..Gliese GJ 1061 -> 82 G. Eri, distance = 1.79, cumulative = 117.12
..82 G. Eri -> Gliese GJ 2034, distance = 2.54, cumulative = 119.66
..Gliese GJ 2034 -> p Eridani, distance = 3.56, cumulative = 123.22
..p Eridani -> Gliese Gl  66  A, distance = 0.00, cumulative = 123.22
..Gliese Gl  66  A -> Gliese Gl  54, distance = 1.67, cumulative = 124.89
..Gliese Gl  54 -> Zet Tuc, distance = 0.95, cumulative = 125.83
..Zet Tuc -> Gliese Gl 877, distance = 1.89, cumulative = 127.72
..Gliese Gl 877 -> Bet Hyi, distance = 1.38, cumulative = 129.11
..Bet Hyi -> Gliese NN 4285, distance = 1.86, cumulative = 130.97
..Gliese NN 4285 -> Del Pav, distance = 1.82, cumulative = 132.79
..Del Pav -> Gliese Gl 693, distance = 1.95, cumulative = 134.74
..Gliese Gl 693 -> Unnamed star 82474, distance = 1.17, cumulative = 135.91
..Unnamed star 82474 -> Gliese Gl 674, distance = 1.39, cumulative = 137.31
..Gliese Gl 674 -> Gliese Gl 682, distance = 0.56, cumulative = 137.87
..Gliese Gl 682 -> Unnamed star 86694, distance = 1.66, cumulative = 139.52
..Unnamed star 86694 -> Unnamed star 86696, distance = 0.00, cumulative = 139.52
..Unnamed star 86696 -> Gliese Gl 664, distance = 0.93, cumulative = 140.46
